Thread-Name,x,y,time,IsPotential
Thread-19,99,167,7,false
Thread-20,69,214,7,false
Thread-21,146,154,7,false
Thread-22,130,250,7,false
Thread-23,245,72,7,false
Thread-24,295,226,7,false
Thread-25,42,75,7,false
Thread-26,218,138,7,false
Thread-27,59,117,7,false
Thread-28,44,194,7,false
Thread-30,153,88,7,false
Thread-31,6,259,7,false
Thread-0,251,6,8,false
Thread-1,227,224,8,false
Thread-2,159,10,8,false
Thread-3,290,75,8,false
Thread-4,15,234,8,false
Thread-5,146,99,8,false
Thread-6,139,275,8,false
Thread-7,198,201,8,false
Thread-8,143,253,8,false
Thread-9,251,159,8,false
Thread-10,26,64,8,false
Thread-11,242,124,8,false
Thread-12,105,67,8,false
Thread-13,134,14,8,true
Thread-15,176,213,8,false
Thread-16,17,94,8,false
Thread-17,227,81,8,false
Thread-18,201,127,8,false
Thread-19,89,177,8,false
Thread-20,59,214,8,false
Thread-21,166,134,8,false
Thread-22,120,250,8,false
Thread-23,255,62,8,false
Thread-24,295,246,8,false
Thread-25,52,65,8,false
Thread-26,218,128,8,false
Thread-27,49,117,8,false
Thread-28,24,174,8,false
Thread-30,153,88,8,false
Thread-31,6,259,8,false
Thread-0,241,16,9,false
Thread-1,237,214,9,false
Thread-2,149,0,9,false
Thread-3,290,85,9,false
Thread-4,15,234,9,false
Thread-5,146,99,9,false
Thread-6,129,275,9,false
Thread-7,178,201,9,false
Thread-8,143,253,9,false
Thread-9,261,169,9,false
Thread-10,26,74,9,false
Thread-11,252,134,9,false
Thread-12,115,77,9,false
Thread-13,134,14,9,true
Thread-15,186,223,9,false
Thread-16,7,104,9,false
Thread-17,227,81,9,false
Thread-18,201,137,9,false
Thread-19,79,177,9,false
Thread-20,49,224,9,false
Thread-21,166,134,9,false
Thread-22,120,260,9,false
Thread-23,235,42,9,false
Thread-24,295,246,9,false
Thread-25,62,65,9,false
Thread-26,208,118,9,false
Thread-27,29,97,9,false
Thread-28,34,174,9,false
Thread-30,143,78,9,false
Thread-31,16,249,9,false
Thread-0,261,16,10,false
Thread-1,227,204,10,false
Thread-2,149,0,10,false
Thread-3,280,85,10,false
Thread-4,5,234,10,false
Thread-5,146,109,10,false
Thread-6,119,285,10,false
Thread-7,158,221,10,false
Thread-8,123,233,10,false
Thread-9,251,159,10,false
Thread-10,36,74,10,false
Thread-11,242,144,10,false
Thread-12,115,87,10,false
Thread-13,134,4,10,true
Thread-15,166,203,10,false
Thread-16,27,124,10,false
Thread-17,217,91,10,false
Thread-18,201,137,10,false
Thread-19,79,167,10,false
Thread-20,49,224,10,false
Thread-21,176,144,10,false
Thread-22,130,270,10,false
Thread-23,225,42,10,false
Thread-24,275,266,10,false
Thread-25,72,75,10,false
Thread-26,218,118,10,false
Thread-27,29,97,10,false
Thread-28,44,184,10,false
Thread-30,153,78,10,false
Thread-31,16,239,10,false
Thread-0,261,6,11,false
Thread-1,227,204,11,false
Thread-2,139,0,11,false
Thread-3,290,95,11,false
Thread-4,5,234,11,false
Thread-5,156,99,11,false
Thread-6,109,285,11,false
Thread-7,148,231,11,false
Thread-8,103,233,11,false
Thread-9,251,149,11,false
Thread-10,36,74,11,false
Thread-11,262,124,11,false
Thread-12,115,77,11,false
Thread-13,134,4,11,true
Thread-15,176,203,11,false
Thread-16,27,114,11,false
Thread-17,197,71,11,false
Thread-18,201,147,11,false
Thread-19,89,157,11,false
Thread-20,59,214,11,false
Thread-21,156,164,11,false
Thread-22,110,270,11,false
Thread-23,215,52,11,false
Thread-24,265,276,11,false
Thread-25,82,65,11,false
Thread-26,208,118,11,false
Thread-27,39,107,11,false
Thread-28,44,194,11,false
Thread-30,153,58,11,false
Thread-31,6,229,11,false
Thread-0,271,16,12,false
Thread-1,207,204,12,false
Thread-2,149,10,12,false
Thread-3,290,105,12,false
Thread-4,15,244,12,false
Thread-5,166,89,12,false
Thread-6,119,285,12,false
Thread-7,148,231,12,false
Thread-8,93,233,12,false
Thread-9,241,159,12,false
Thread-10,16,54,12,false
Thread-11,262,134,12,false
Thread-12,115,67,12,false
Thread-13,124,14,12,true
Thread-15,176,213,12,false
Thread-16,27,94,12,false
Thread-17,197,81,12,false
Thread-18,221,147,12,false
Thread-19,89,167,12,false
Thread-20,59,204,12,false
Thread-21,166,164,12,false
Thread-22,100,280,12,false
Thread-23,205,52,12,false
Thread-24,255,266,12,false
Thread-25,82,85,12,false
Thread-26,208,98,12,false
Thread-27,49,97,12,false
